OBJECTID,NM_MUNICIP,CD_GEOCMU,NM_ESTADO,SECAS2015,SHAPE_Length,SHAPE_Area
405,AMPARO,2500734,PARAÍBA,2,0.453619625118014,0.00999468201894381
406,NAZAREZINHO,2510006,PARAÍBA,2,0.566397199678532,0.0156686700786201
407,NOVA FLORESTA,2510105,PARAÍBA,2,0.317558649622386,0.00387288811308645
408,NOVA OLINDA,2510204,PARAÍBA,2,0.507349960780458,0.0069019215266887
409,SERRA DE SÃO BENTO,2413300,RIO GRANDE DO NORTE,1,0.40137327994962,0.0078985070884038
410,SERRA DO MEL,2413359,RIO GRANDE DO NORTE,1,1.19241346852144,0.0502827507710363
411,COREMAS,2504801,PARAÍBA,2,0.891491557260993,0.0310589663244965
412,COXIXOLA,2504850,PARAÍBA,2,0.513632016518909,0.0139216167348442
413,OLHO-D'ÁGUA DO BORGES,2408409,RIO GRANDE DO NORTE,1,0.455789151742991,0.0115300848387806
414,OURO BRANCO,2408508,RIO GRANDE DO NORTE,1,0.706536605051565,0.0207080849977377
415,PARANÁ,2408607,RIO GRANDE DO NORTE,1,0.374023361523252,0.00665329666833668
416,MARIZÓPOLIS,2509156,PARAÍBA,2,0.32945721031431,0.00520362806725426
417,MASSARANDUBA,2509206,PARAÍBA,2,0.609254638114641,0.0168616614788167
418,SÃO JOÃO DO SABUGI,2412104,RIO GRANDE DO NORTE,1,0.763190533395718,0.0226548986634373
419,SÃO JOSÉ DE MIPIBU,2412203,RIO GRANDE DO NORTE,1,0.911017064569231,0.023715891515523
420,SÃO JOSÉ DO CAMPESTRE,2412302,RIO GRANDE DO NORTE,1,0.842775270007761,0.0278764475822415
421,SÃO JOSÉ DO SERIDÓ,2412401,RIO GRANDE DO NORTE,1,0.56440011056806,0.0142659285623658
422,CACIMBA DE DENTRO,2503506,PARAÍBA,2,0.542836971347501,0.0137465596050679
423,CACIMBAS,2503555,PARAÍBA,2,0.546053007095796,0.0103602149716194
424,LAGOA,2508109,PARAÍBA,2,0.598807316699726,0.0145464086917416
425,LAGOA DE DENTRO,2508208,PARAÍBA,1,0.427310633938244,0.00691119953464804
426,LAGOA SECA,2508307,PARAÍBA,2,0.540445820267112,0.00880726699766254
427,LASTRO,2508406,PARAÍBA,2,0.533805731115466,0.00839422603179787
428,MATINHAS,2509339,PARAÍBA,1,0.355432572949052,0.00312060611373285
429,TIBAU,2411056,RIO GRANDE DO NORTE,1,0.57207223758754,0.0137981503693303
430,BOM SUCESSO,2502300,PARAÍBA,2,0.56880627490536,0.0150500262277885
431,BONITO DE SANTA FÉ,2502409,PARAÍBA,2,0.677026866543096,0.0186965813001175
432,BOQUEIRÃO,2502508,PARAÍBA,2,0.95775890905118,0.0304747038283468
433,IGARACY,2502607,PARAÍBA,2,0.636301946877212,0.0157386589711183
434,IBIARA,2506608,PARAÍBA,2,0.739247889552993,0.0200285824420062
435,IMACULADA,2506707,PARAÍBA,2,1.03811492677216,0.0259609768604034
436,INGÁ,2506806,PARAÍBA,2,0.902736105954328,0.0219144532691061
437,ITABAIANA,2506905,PARAÍBA,2,0.688765700962508,0.017922745440267
438,SALGADINHO,2513000,PARAÍBA,2,0.573934475831326,0.0150802598692284
439,SALGADO DE SÃO FÉLIX,2513109,PARAÍBA,2,0.652031890918755,0.0165333852004482
440,SANTA CECÍLIA,2513158,PARAÍBA,2,0.79458134038805,0.0183852658522234
441,RUY BARBOSA,2411106,RIO GRANDE DO NORTE,1,0.519901142286636,0.0102737813035909
442,SANTA CRUZ,2411205,RIO GRANDE DO NORTE,1,1.28180399378828,0.0510183129522745
443,SANTANA DO MATOS,2411403,RIO GRANDE DO NORTE,1,1.92099401036362,0.115924025896011
444,APARECIDA,2500775,PARAÍBA,2,0.803290438292715,0.024188430954574
445,ARAÇAGI,2500809,PARAÍBA,1,0.813010877669086,0.0189110961568449
446,ARARA,2500908,PARAÍBA,2,0.516068868262455,0.0081083862506162
447,ARARUNA,2501005,PARAÍBA,2,0.718488427200335,0.019727980642274
448,AREIA,2501104,PARAÍBA,1,0.729865705202482,0.0218146487284913
449,BREJO DO CRUZ,2502805,PARAÍBA,2,0.833635844245219,0.0326021212113456
450,BREJO DOS SANTOS,2502904,PARAÍBA,2,0.435995528567269,0.00767062035507843
451,SERRA CAIADA,2410306,RIO GRANDE DO NORTE,1,0.598754931920502,0.0136704798843232
452,PILÕES,2511608,PARAÍBA,1,0.297640627211145,0.00527265434954033
453,PIRPIRITUBA,2511806,PARAÍBA,1,0.450629270326166,0.0065312017796788
454,POCINHOS,2512002,PARAÍBA,2,1.17639303906083,0.0514057297480317
455,SERRA NEGRA DO NORTE,2413409,RIO GRANDE DO NORTE,1,0.93548933604852,0.0459852361367789
456,SERRINHA,2413508,RIO GRANDE DO NORTE,1,0.598771401360773,0.0157995495279306
457,UMARIZAL,2414506,RIO GRANDE DO NORTE,1,0.644459033031002,0.0174446983313796
458,UPANEMA,2414605,RIO GRANDE DO NORTE,1,1.11564965476196,0.0713332407342741
459,CUBATI,2505006,PARAÍBA,2,0.481942687046786,0.0112054360656474
460,AREIA DE BARAÚNAS,2501153,PARAÍBA,2,0.441030345986691,0.00788590925418119
461,AREIAL,2501203,PARAÍBA,2,0.26744888325526,0.00291692058625063
462,AROEIRAS,2501302,PARAÍBA,2,0.940910849648841,0.0306987910021007
463,PARAÚ,2408706,RIO GRANDE DO NORTE,1,0.775497506731768,0.0312872954587999
464,PARAZINHO,2408805,RIO GRANDE DO NORTE,1,0.72388564645964,0.0224079483648976
465,PARELHAS,2408904,RIO GRANDE DO NORTE,1,1.05729259367761,0.0419981702185609
466,SERRINHA DOS PINTOS,2413557,RIO GRANDE DO NORTE,1,0.404118890158058,0.0099978087938474
467,SEVERIANO MELO,2413607,RIO GRANDE DO NORTE,1,0.529565363096213,0.0128874090841498
468,CAIÇARA,2503605,PARAÍBA,2,0.756725085399427,0.0104592982272634
469,CAJAZEIRAS,2503704,PARAÍBA,2,1.04072408866624,0.0463024168419791
470,CAJAZEIRINHAS,2503753,PARAÍBA,2,0.753122392082235,0.0235578249003416
471,CUITÉ,2505105,PARAÍBA,2,1.14677134685183,0.0606531800652418
472,CUITÉ DE MAMANGUAPE,2505238,PARAÍBA,1,0.45414240536686,0.00887308971085979
473,MATO GROSSO,2509370,PARAÍBA,2,0.447906917536928,0.00682876506979418
474,POÇO BRANCO,2410108,RIO GRANDE DO NORTE,1,0.724765194442425,0.0188043550211451
475,PORTALEGRE,2410207,RIO GRANDE DO NORTE,1,0.672908912646264,0.00898932125733188
476,PORTO DO MANGUE,2410256,RIO GRANDE DO NORTE,1,0.889931721660124,0.026012978211221
477,CALDAS BRANDÃO,2503803,PARAÍBA,1,0.460920964783445,0.00457214950239767
478,CAMALAÚ,2503902,PARAÍBA,2,1.17380848726135,0.0445819284528574
479,CAMPINA GRANDE,2504009,PARAÍBA,2,1.51702919685574,0.0486517488988562
480,ITAPORANGA,2507002,PARAÍBA,2,0.998442597856332,0.0383266599807858
481,ITATUBA,2507200,PARAÍBA,2,0.672441311243535,0.0200034368748112
482,LIVRAMENTO,2508505,PARAÍBA,2,0.867345864192868,0.0221732991335149
483,LOGRADOURO,2508554,PARAÍBA,2,0.365434447269188,0.00310657541871508
484,PRATA,2512200,PARAÍBA,2,0.598589671385948,0.0157372415930922
485,MATURÉIA,2509396,PARAÍBA,2,0.418833722081446,0.0068526605292198
486,SANTANA DO SERIDÓ,2411429,RIO GRANDE DO NORTE,1,0.636708572097452,0.015409410127663
487,SANTO ANTÔNIO,2411502,RIO GRANDE DO NORTE,1,0.786130441000678,0.0246065960110737
488,JERICÓ,2507408,PARAÍBA,2,0.560782048136845,0.0146594474141912
489,POÇO DANTAS,2512036,PARAÍBA,2,0.605979761671005,0.00794885037328906
490,PRINCESA ISABEL,2512309,PARAÍBA,2,1.03609683899951,0.030156199433895
491,PUXINANÃ,2512408,PARAÍBA,2,0.399012582349003,0.00594963146738926
492,QUEIMADAS,2512507,PARAÍBA,2,0.916125927280288,0.0329074859905597
493,QUIXABÁ,2512606,PARAÍBA,2,0.646327049490442,0.012823248381113
494,REMÍGIO,2512705,PARAÍBA,2,0.625614223186631,0.0148013773186029
495,VÁRZEA,2414704,RIO GRANDE DO NORTE,1,0.507342071434961,0.00594044782467536
496,ASSUNÇÃO,2501351,PARAÍBA,2,0.484187341076572,0.0103477893168738
497,BANANEIRAS,2501500,PARAÍBA,2,0.683510432603269,0.0210948146290691
498,BARAÚNA,2501534,PARAÍBA,2,0.369338364743763,0.00413613482203825
499,BARRA DE SANTANA,2501575,PARAÍBA,2,1.01937931044767,0.0308824351785331
500,BARRA DE SANTA ROSA,2501609,PARAÍBA,2,1.18155441787031,0.0634490848043656
501,BARRA DE SÃO MIGUEL,2501708,PARAÍBA,2,1.18539908697137,0.0487838275097938
502,PUREZA,2410405,RIO GRANDE DO NORTE,1,0.927864534497936,0.0411475451974083
503,RAFAEL FERNANDES,2410504,RIO GRANDE DO NORTE,1,0.33566851562722,0.00639191561024676
504,RAFAEL GODEIRO,2410603,RIO GRANDE DO NORTE,1,0.416943202114144,0.00817458700290564
505,RIACHO DA CRUZ,2410702,RIO GRANDE DO NORTE,1,0.557460445346564,0.0103896435183714
506,POÇO DE JOSÉ DE MOURA,2512077,PARAÍBA,2,0.465854694371676,0.00825613046858626
507,POMBAL,2512101,PARAÍBA,2,1.85328288272918,0.0727017062233422
508,SÍTIO NOVO,2413706,RIO GRANDE DO NORTE,1,0.598264361598381,0.0174372920217935
509,TABOLEIRO GRANDE,2413805,RIO GRANDE DO NORTE,1,0.578936385283365,0.0101344394187438
510,VENHA-VER,2414753,RIO GRANDE DO NORTE,1,0.352600623826462,0.00585325942339731
511,VERA CRUZ,2414803,RIO GRANDE DO NORTE,1,0.517282819858207,0.00685292512188164
512,CURRAL VELHO,2505303,PARAÍBA,2,0.59524486365635,0.0182669178675856
513,DAMIÃO,2505352,PARAÍBA,2,0.52303198485804,0.0151847094819834
514,PASSA E FICA,2409100,RIO GRANDE DO NORTE,1,0.3177500908332,0.00344438864125117
515,PASSAGEM,2409209,RIO GRANDE DO NORTE,1,0.245912448776883,0.00336800790282955
516,PATU,2409308,RIO GRANDE DO NORTE,1,0.740822239748597,0.0260703413236522
517,SANTA MARIA,2409332,RIO GRANDE DO NORTE,1,0.585771798994036,0.017927287343534
518,NOVA PALMEIRA,2510303,PARAÍBA,2,0.836784534019953,0.0253808521662067
519,OLHO D'ÁGUA,2510402,PARAÍBA,2,1.20929156409247,0.048813656529931
520,OLIVEDOS,2510501,PARAÍBA,2,0.753751807634748,0.0260155316062794
521,TAIPU,2413904,RIO GRANDE DO NORTE,1,0.766944186844495,0.0287967372244895
522,CAPIM,2504033,PARAÍBA,1,0.41206677438387,0.00644611917276615
523,CARAÚBAS,2504074,PARAÍBA,2,1.03308243508423,0.0407581702791131
524,CARRAPATEIRA,2504108,PARAÍBA,2,0.3559216353072,0.00446228242407446
525,CASSERENGUE,2504157,PARAÍBA,2,0.647642978496346,0.0164716852221235
526,CATINGUEIRA,2504207,PARAÍBA,2,1.00809284038007,0.043341028766503
527,DESTERRO,2505402,PARAÍBA,2,0.546338543890385,0.0146894275105451
528,VISTA SERRANA,2505501,PARAÍBA,2,0.396976599077964,0.00501905278041568
529,DIAMANTE,2505600,PARAÍBA,2,0.877269121809102,0.0220427733435569
530,DONA INÊS,2505709,PARAÍBA,2,0.661360256403455,0.0135877334021388
531,MÃE D'ÁGUA,2508703,PARAÍBA,2,0.736363429678225,0.0199580089777891
532,MOGEIRO,2509404,PARAÍBA,2,0.624451548556959,0.0175486803994703
